datetime,isSpeaking,volume
2017-04-13 20:39:37,B,0.960378
2017-04-13 20:39:37,B,0.96387
2017-04-13 20:39:37,B,0.926014
2017-04-13 20:39:37,B,0.798076
2017-04-13 20:39:37,B,0.841562
2017-04-13 20:39:37,B,0.852436
2017-04-13 20:39:39,B,0.890436
2017-04-13 20:39:39,B,0.912984
2017-04-13 20:39:39,B,0.872989
2017-04-13 20:39:40,B,0.861964
2017-04-13 20:39:40,B,0.86685
2017-04-13 20:39:40,B,0.857884
2017-04-13 20:39:40,B,0.88144
2017-04-13 20:39:40,B,0.814841
2017-04-13 20:39:40,B,0.751951
2017-04-13 20:39:40,B,0.765665
2017-04-13 20:39:40,B,0.812809
2017-04-13 20:39:40,B,0.766761
2017-04-13 20:39:40,B,0.727397
2017-04-13 20:39:40,B,0.773036
2017-04-13 20:39:40,B,0.682776
2017-04-13 20:39:41,B,0.758356
2017-04-13 20:39:41,A,0.646198
2017-04-13 20:39:41,A,0.635977
2017-04-13 20:39:41,A,0.725311
2017-04-13 20:39:41,A,0.772889
2017-04-13 20:39:42,B,0.893173
2017-04-13 20:39:42,B,0.859958
2017-04-13 20:39:42,B,0.767785
2017-04-13 20:39:42,B,0.822556
2017-04-13 20:39:42,B,0.743125
2017-04-13 20:39:42,B,0.557557
2017-04-13 20:39:42,B,0.917631
2017-04-13 20:39:42,B,0.898872
2017-04-13 20:39:43,B,0.950179
2017-04-13 20:39:43,B,0.941171
2017-04-13 20:39:43,B,0.8442
2017-04-13 20:39:43,B,0.795033
2017-04-13 20:39:43,B,0.744358
2017-04-13 20:39:43,B,0.777074
2017-04-13 20:39:43,B,0.858363
2017-04-13 20:39:55,B,1
2017-04-13 20:39:55,B,1
2017-04-13 20:39:55,B,1
2017-04-13 20:39:55,B,1
2017-04-13 20:39:55,B,1
2017-04-13 20:39:55,B,0.981201
2017-04-13 20:39:56,B,1
2017-04-13 20:39:56,B,0.976703
2017-04-13 20:39:56,B,0.942415
2017-04-13 20:39:56,B,0.961233
2017-04-13 20:39:56,B,1
2017-04-13 20:39:56,B,1
2017-04-13 20:39:56,B,1
2017-04-13 20:39:57,B,1
2017-04-13 20:39:57,B,0.921962
2017-04-13 20:39:57,B,0.940773
2017-04-13 20:39:57,B,1
2017-04-13 20:39:57,B,0.916491
2017-04-13 20:39:57,B,1
2017-04-13 20:39:57,B,0.890433
2017-04-13 20:39:57,B,0.85363
2017-04-13 20:39:57,B,1
2017-04-13 20:39:57,B,0.934381
2017-04-13 20:39:57,B,0.960245
2017-04-13 20:39:57,B,0.933093
2017-04-13 20:39:58,B,0.960155
2017-04-13 20:39:58,B,0.995653
2017-04-13 20:39:58,B,0.886134
2017-04-13 20:39:58,B,0.832468
2017-04-13 20:39:58,B,0.661385
2017-04-13 20:39:58,B,0.700274
2017-04-13 20:39:58,B,0.990503
2017-04-13 20:39:58,B,1
2017-04-13 20:39:58,B,1
2017-04-13 20:39:58,B,1
2017-04-13 20:39:58,B,0.889994
2017-04-13 20:39:59,B,0.834943
2017-04-13 20:39:59,B,0.865728
2017-04-13 20:39:59,B,0.971413
2017-04-13 20:39:59,B,0.977669
2017-04-13 20:39:59,B,1
2017-04-13 20:39:59,B,1
2017-04-13 20:39:59,B,0.923502
2017-04-13 20:39:59,B,0.898645
2017-04-13 20:39:59,B,0.928908
2017-04-13 20:39:59,B,0.937435
2017-04-13 20:39:59,B,0.984852
2017-04-13 20:39:59,B,0.991007
2017-04-13 20:40:00,B,0.953726
2017-04-13 20:40:00,B,0.898895
2017-04-13 20:40:00,B,0.887403
2017-04-13 20:40:00,B,0.839143
2017-04-13 20:40:00,B,0.838354
2017-04-13 20:40:00,B,0.735732
2017-04-13 20:40:00,B,1
2017-04-13 20:40:00,B,0.864387
2017-04-13 20:40:00,B,0.831336
2017-04-13 20:40:00,B,1
2017-04-13 20:40:00,B,0.974302
2017-04-13 20:40:00,B,1
2017-04-13 20:40:01,B,0.921352
2017-04-13 20:40:01,B,0.917858
2017-04-13 20:40:01,B,0.848362
2017-04-13 20:40:01,B,0.895576
2017-04-13 20:40:01,B,0.774896
2017-04-13 20:40:01,B,0.751921
2017-04-13 20:40:01,B,0.809726
2017-04-13 20:40:01,B,0.766728
2017-04-13 20:40:01,B,0.708804
2017-04-13 20:40:02,B,0.941913
2017-04-13 20:40:02,B,0.874525
2017-04-13 20:40:02,B,0.813738
2017-04-13 20:40:02,B,1
2017-04-13 20:40:02,B,0.859966
2017-04-13 20:40:02,B,0.789482
2017-04-13 20:40:02,B,1
2017-04-13 20:40:02,B,0.96531
2017-04-13 20:40:02,B,1
2017-04-13 20:40:02,B,1
