datetime,isTracking,leftHandX,leftHandY,RightHandX,RightHandY,LeanX,LeanY
2017-03-07 03:57:26,B,632,959,1163,1022,0.880192,1
2017-03-07 03:57:27,B,630,965,1176,1025,1,1
2017-03-07 03:57:28,B,596,983,1270,1052,1,1
2017-03-07 03:57:28,B,597,985,1282,1056,1,1
2017-03-07 03:57:29,B,597,991,1278,1053,0.934411,1
2017-03-07 03:57:29,B,594,1039,1392,1080,0.789184,1
2017-03-07 03:57:29,B,628,997,1356,1075,0.614762,1
2017-03-07 03:57:29,B,631,1002,1360,1080,0.494086,1
2017-03-07 03:57:29,B,599,1053,1501,1080,0.463387,1
2017-03-07 03:57:29,B,600,1061,1428,1013,0.486403,1
2017-03-07 03:57:30,B,607,1068,1030,1021,0.490437,1
2017-03-07 03:57:30,A,751,924,1057,1025,0.494295,1
2017-03-07 03:57:30,A,745,924,1075,1028,0.482008,1
2017-03-07 03:57:30,A,743,923,1073,1027,0.468574,1
2017-03-07 03:57:31,A,654,1053,1056,1026,0.503423,1
2017-03-07 03:57:31,B,608,1061,952,1022,0.590772,0.937434
2017-03-07 03:57:31,B,599,1063,993,1017,0.658924,1
2017-03-07 03:57:31,B,554,957,1091,1002,0.601675,0.917792
2017-03-07 03:57:31,B,548,952,1120,1023,0.551177,0.825642
2017-03-07 03:57:32,B,559,912,1070,1012,0.512671,0.743184
2017-03-07 03:57:32,B,712,952,935,1001,0.346492,0.436049
2017-03-07 03:57:32,B,882,946,923,1002,0.169832,0.304091
2017-03-07 03:57:32,B,651,995,881,982,0.120119,0.270073
2017-03-07 03:57:33,B,649,991,887,966,0.094437,0.235097
2017-03-07 03:57:33,B,649,996,884,968,0.0724158,0.213847
2017-03-07 03:57:33,B,651,996,879,971,0.0513186,0.196531
2017-03-07 03:57:33,B,652,994,871,973,0.0314456,0.182872
2017-03-07 03:57:33,B,689,993,864,979,0.0212278,0.177527
2017-03-07 03:57:34,B,648,989,874,972,0.0122958,0.174146
2017-03-07 03:57:34,B,690,994,869,974,-0.0113745,0.168572
2017-03-07 03:57:34,B,689,992,865,976,-0.0433758,0.162962
2017-03-07 03:57:34,B,691,993,868,973,-0.0469474,0.163042
2017-03-07 03:57:34,B,688,994,877,973,-0.0469126,0.162974
2017-03-07 03:57:35,B,666,958,690,979,-0.046335,0.162632
2017-03-07 03:57:35,B,776,956,811,960,-0.0283087,0.172552
2017-03-07 03:57:35,B,906,985,1229,1016,0.139326,0.317637
2017-03-07 03:57:35,B,924,1008,982,1012,0.353396,0.582931
2017-03-07 03:57:35,B,963,1010,1131,1016,0.149577,0.636408
2017-03-07 03:57:36,B,974,1016,1091,1019,0.107553,0.653149
2017-03-07 03:57:36,B,1009,1020,1126,1019,0.142418,0.634635
2017-03-07 03:57:36,B,998,1021,1133,1022,0.145815,0.624942
2017-03-07 03:57:36,B,940,1017,1125,1021,0.10174,0.561404
2017-03-07 03:57:36,B,1068,1028,1156,1023,0.0476332,0.53081
