datetime,isTracking,leftHandX,leftHandY,RightHandX,RightHandY,LeanX,LeanY
2017-03-16 22:21:43,A,557,731,892,834,0.310224,0.148178
2017-03-16 22:21:43,A,506,672,943,788,0.347199,0.179698
2017-03-16 22:21:44,A,468,713,779,846,0.75116,0.377184
2017-03-16 22:21:44,A,471,719,779,848,0.690445,0.396166
2017-03-16 22:21:44,A,634,858,791,842,0.62457,0.440329
2017-03-16 22:21:44,A,627,859,791,841,0.565815,0.468647
2017-03-16 22:21:44,A,626,858,793,839,0.4968,0.483259
2017-03-16 22:21:44,A,625,860,788,840,0.392658,0.475592
2017-03-16 22:21:44,A,623,859,783,844,0.334541,0.459582
2017-03-16 22:21:44,A,610,854,773,848,0.259087,0.426608
2017-03-16 22:21:44,A,595,858,773,844,0.196231,0.399343
2017-03-16 22:21:44,A,591,860,775,844,0.150314,0.376333
2017-03-16 22:21:45,A,590,861,774,841,0.130579,0.364151
2017-03-16 22:21:45,A,584,863,775,839,0.102016,0.358387
2017-03-16 22:21:45,A,585,865,776,837,0.0759846,0.360087
2017-03-16 22:21:45,A,577,866,769,835,0.055797,0.365687
2017-03-16 22:21:45,A,573,860,772,831,0.0419676,0.375943
2017-03-16 22:21:45,A,606,865,780,831,0.0369409,0.392089
2017-03-16 22:21:46,A,607,867,781,829,0.0187285,0.393869
2017-03-16 22:21:46,A,605,864,783,829,0.00616144,0.392516
2017-03-16 22:21:46,A,430,831,786,829,-0.00511752,0.387426
2017-03-16 22:21:46,A,619,863,788,829,-0.0130414,0.386678
2017-03-16 22:21:46,A,610,860,791,828,-0.0143358,0.374313
2017-03-16 22:21:46,A,609,859,788,829,-0.0143322,0.361879
2017-03-16 22:21:46,A,428,836,790,827,-0.0117374,0.353436
2017-03-16 22:21:47,A,615,863,795,831,-0.00844947,0.349155
2017-03-16 22:21:47,A,614,864,793,830,-0.00553044,0.34247
2017-03-16 22:21:47,A,609,863,792,830,-0.00398748,0.339751
2017-03-16 22:21:47,A,617,863,792,829,-0.00238597,0.33918
2017-03-16 22:21:47,A,615,863,793,830,0.000484817,0.338789
2017-03-16 22:21:47,A,617,862,792,829,0.00229928,0.337884
2017-03-16 22:21:47,A,605,863,792,829,0.00269345,0.332833
2017-03-16 22:21:47,A,616,863,792,828,0.00254569,0.31984
2017-03-16 22:21:47,A,617,862,795,825,0.0038182,0.312621
2017-03-16 22:21:47,A,615,862,791,824,0.00385874,0.30871
2017-03-16 22:21:47,A,616,863,793,823,0.00464091,0.303774
2017-03-16 22:21:48,A,616,862,797,825,0.00468468,0.301653
2017-03-16 22:21:48,A,612,862,801,825,0.00467222,0.296953
2017-03-16 22:21:48,A,615,862,800,823,0.00487898,0.291873
2017-03-16 22:21:48,A,616,864,800,823,0.00319114,0.282351
2017-03-16 22:21:48,A,615,863,801,822,0.00438409,0.281909
2017-03-16 22:21:48,A,615,863,800,821,0.00585467,0.285721
2017-03-16 22:21:48,A,615,863,800,819,0.00671772,0.28719
2017-03-16 22:21:48,A,611,865,800,819,0.00623856,0.283622
2017-03-16 22:21:48,A,613,864,800,820,0.00575401,0.282431
2017-03-16 22:21:48,A,613,864,802,819,0.00575401,0.282431
2017-03-16 22:21:49,A,612,865,803,818,0.00575401,0.282431
2017-03-16 22:21:49,A,612,864,802,818,0.00575401,0.282431
2017-03-16 22:21:49,A,611,865,802,818,0.00575401,0.282431
2017-03-16 22:21:49,A,612,864,804,818,0.00575401,0.282431
2017-03-16 22:21:49,A,611,866,803,817,0.00575401,0.282431
2017-03-16 22:21:49,A,611,866,804,817,0.00575401,0.282431
2017-03-16 22:21:49,A,611,864,804,816,0.00575401,0.282431
2017-03-16 22:21:49,A,610,865,802,815,0.00575401,0.282431
2017-03-16 22:21:49,A,607,865,809,817,0.00575401,0.282431
2017-03-16 22:21:49,A,596,863,797,815,0.00575401,0.282431
2017-03-16 22:21:49,A,594,865,791,814,0.00575401,0.282431
2017-03-16 22:21:49,A,595,868,789,811,0.00575401,0.282431
2017-03-16 22:21:50,A,601,865,800,815,0.00575401,0.282431
