datetime,isTracking,leftHandX,leftHandY,RightHandX,RightHandY,LeanX,LeanY
20170306_215426,A,715,816,682,939,0.106815,0.406682
20170306_215426,A,683,523,684,936,-0.235692,0.734388
20170306_215426,A,310,890,664,939,-1,1
20170306_215427,A,304,895,660,946,-1,1
20170306_215427,A,302,898,656,948,-1,1
20170306_215427,A,302,903,616,955,-1,1
20170306_215427,A,303,906,616,957,-1,1
20170306_215427,A,301,909,615,959,-1,1
20170306_215427,A,303,910,618,955,-1,1
20170306_215427,A,305,915,612,952,-1,1
20170306_215427,A,306,915,508,945,-1,1
20170306_215427,A,304,917,580,925,-1,1
20170306_215427,A,276,974,653,905,-1,1
20170306_215427,A,282,949,744,906,-1,1
20170306_215427,A,311,910,783,928,-1,1
20170306_215427,A,319,1003,740,928,-1,1
20170306_215427,A,317,1014,681,933,-1,1
20170306_215427,A,308,985,657,935,-1,1
20170306_215428,A,348,891,605,942,-1,1
20170306_215428,A,307,911,539,945,-1,1
20170306_215428,A,303,917,531,943,-1,1
20170306_215428,A,303,918,523,941,-1,1
20170306_215428,A,303,919,498,942,-1,1
20170306_215428,A,298,926,635,939,-1,1
20170306_215428,A,307,905,620,953,-1,1
20170306_215428,A,302,910,613,957,-1,1
20170306_215428,A,300,913,612,957,-1,1
20170306_215428,A,301,917,609,958,-0.965435,1
20170306_215428,A,302,915,609,958,-0.954973,1
20170306_215428,A,302,914,610,960,-0.924103,1
20170306_215428,A,300,917,609,960,-0.904371,1
20170306_215429,A,307,909,605,960,-0.884191,1
20170306_215429,A,304,912,603,960,-0.853891,1
20170306_215429,A,306,914,603,959,-0.833425,1
20170306_215429,A,304,910,604,960,-0.813415,1
20170306_215429,A,303,912,603,960,-0.783592,1
20170306_215429,A,304,912,602,960,-0.765865,1
20170306_215429,A,305,915,603,960,-0.747772,1
20170306_215429,A,302,918,600,961,-0.731132,1
20170306_215429,A,302,917,600,961,-0.706394,1
20170306_215429,A,303,915,600,960,-0.691173,1
20170306_215429,A,303,915,601,961,-0.676507,1
20170306_215429,A,305,910,600,961,-0.6608,1
20170306_215429,A,307,913,603,961,-0.636396,1
20170306_215430,A,311,911,603,960,-0.619675,1
20170306_215430,A,304,929,600,960,-0.602153,1
20170306_215430,A,299,1005,498,963,-0.588319,0.978327
20170306_215430,A,302,1002,529,959,-0.594801,0.965968
20170306_215430,A,312,977,614,952,-0.617223,0.933518
20170306_215430,A,311,966,680,939,-0.670752,0.889661
20170306_215430,A,306,1010,772,923,-0.659417,0.866643
20170306_215430,A,308,1009,875,933,-0.635222,0.854249
20170306_215430,A,323,953,938,945,-0.612185,0.845286
20170306_215430,A,323,952,944,948,-0.586812,0.82929
20170306_215430,A,323,952,910,942,-0.565499,0.814178
20170306_215430,A,342,929,830,933,-0.551609,0.803655
20170306_215430,A,321,952,759,922,-0.545543,0.793505
20170306_215430,A,322,953,707,917,-0.541922,0.774709
20170306_215430,A,326,942,668,924,-0.547907,0.747242
20170306_215431,A,331,939,659,942,-0.552509,0.719114
20170306_215431,A,307,1004,653,941,-0.55312,0.695408
20170306_215431,A,311,969,649,939,-0.54979,0.666546
20170306_215431,A,307,999,652,949,-0.54459,0.650329
20170306_215431,A,311,1001,649,946,-0.53772,0.635963
20170306_215431,A,314,1005,622,945,-0.523791,0.616598
20170306_215431,A,317,1002,605,952,-0.508816,0.606367
20170306_215431,A,316,995,613,951,-0.477929,0.593351
20170306_215431,A,315,994,611,955,-0.456492,0.5861
20170306_215431,A,316,998,606,964,-0.438383,0.579924
20170306_215431,A,327,934,607,961,-0.417029,0.572501
20170306_215431,A,320,947,606,960,-0.404256,0.567592
20170306_215432,A,327,940,606,960,-0.392131,0.561109
20170306_215432,A,314,975,607,962,-0.375196,0.549751
