datetime,isTracking,leftEyeX,leftEyeY,rightEyeX,rightEyeY,NoseX,NoseY,LeftMouthX,LeftMouthY,RightMouthX,RightMouthY,pitch,yaw,roll,Happy,Engaged,WearingGlasses,LeftEyeClosed,RightEyeClosed,MouthOpen,MouthMoved,LookingAway
20170306_215426,A,662,446,718,441,676,483,669,515,717,513,-1,31,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,642,435,699,431,656,473,649,506,700,505,-1,31,1,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,625,431,682,426,640,471,634,504,686,501,-4,34,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,622,429,679,424,634,471,630,503,681,501,-4,36,1,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,608,428,669,423,625,469,620,505,676,501,-7,35,-1,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,609,427,663,423,618,470,615,503,668,501,-8,36,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,602,425,658,421,614,469,608,503,664,501,-8,36,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,591,424,655,419,609,468,603,502,659,500,-8,35,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,592,423,647,419,603,469,600,501,657,500,-10,36,-1,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,588,420,647,415,602,469,599,502,653,500,-9,35,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,584,425,645,419,601,470,598,505,654,501,-9,35,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,585,424,645,418,601,470,598,504,655,500,-9,35,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,591,424,650,418,605,470,601,504,658,500,-7,35,3,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,590,426,654,420,614,470,607,505,664,501,-9,35,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,602,427,661,420,618,474,613,506,672,503,-9,36,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215427,A,608,429,670,424,627,474,621,507,677,504,-8,38,3,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215428,A,614,429,675,424,631,475,626,507,682,504,-9,33,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215428,A,621,429,679,424,635,473,630,506,684,503,-11,38,-1,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215428,A,619,428,677,424,635,472,629,506,687,504,-9,36,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
20170306_215428,A,618,428,679,424,637,473,630,507,686,504,-10,34,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
