datetime,isSpeaking,volume
2017-04-07 16:20:12,B,0.68663
2017-04-07 16:20:12,B,0.627393
2017-04-07 16:20:12,B,0.618207
2017-04-07 16:20:12,B,0.610456
2017-04-07 16:20:13,B,0.775018
2017-04-07 16:20:13,B,0.722402
2017-04-07 16:20:13,B,0.680886
2017-04-07 16:20:13,B,0.659319
2017-04-07 16:20:13,B,0.731296
2017-04-07 16:20:13,B,0.676978
2017-04-07 16:20:13,B,0.740124
2017-04-07 16:20:13,B,0.780692
2017-04-07 16:20:13,B,0.690211
2017-04-07 16:20:14,B,0.641581
2017-04-07 16:20:14,B,0.669548
2017-04-07 16:20:14,B,0.722097
2017-04-07 16:20:14,B,0.677592
2017-04-07 16:20:14,B,0.669867
2017-04-07 16:20:14,B,0.628072
2017-04-07 16:20:14,B,0.690238
2017-04-07 16:20:15,B,0.613751
2017-04-07 16:20:16,B,0.65018
2017-04-07 16:20:16,B,0.657529
2017-04-07 16:20:16,B,0.638003
2017-04-07 16:20:16,B,0.62513
2017-04-07 16:20:16,B,0.654621
2017-04-07 16:20:16,B,0.630789
2017-04-07 16:20:16,B,0.602427
2017-04-07 16:20:16,B,0.613068
2017-04-07 16:20:16,B,0.654218
2017-04-07 16:20:16,B,0.618731
2017-04-07 16:20:16,B,0.593384
2017-04-07 16:20:17,B,0.621069
2017-04-07 16:20:17,B,0.675924
2017-04-07 16:20:17,B,0.631571
2017-04-07 16:20:17,B,0.652393
2017-04-07 16:20:17,B,0.644483
2017-04-07 16:20:17,B,0.631093
2017-04-07 16:20:17,B,0.634326
2017-04-07 16:20:17,B,0.618802
2017-04-07 16:20:17,B,0.628957
2017-04-07 16:20:18,B,0.636083
2017-04-07 16:20:18,B,0.627374
2017-04-07 16:20:18,B,0.619135
2017-04-07 16:20:18,B,0.604177
2017-04-07 16:20:18,B,0.590282
2017-04-07 16:20:18,B,0.630168
2017-04-07 16:20:19,B,0.64079
2017-04-07 16:20:19,B,0.656467
2017-04-07 16:20:20,B,0.625056
2017-04-07 16:20:20,B,0.608706
2017-04-07 16:20:20,B,0.628401
2017-04-07 16:20:20,B,0.623073
2017-04-07 16:20:21,B,0.67832
2017-04-07 16:20:22,B,0.648423
2017-04-07 16:20:22,B,0.634666
2017-04-07 16:20:22,B,0.612182
2017-04-07 16:20:23,A,0.688283
2017-04-07 16:20:23,A,0.624023
2017-04-07 16:20:24,A,0.658268
2017-04-07 16:20:24,B,0.651458
