datetime,isTracking,leftHandX,leftHandY,RightHandX,RightHandY,LeanX,LeanY
2017-04-07 16:22:17,A,564,283,875,599,-0.313509,0.222769
2017-04-07 16:22:18,A,386,646,936,577,-0.309661,0.12785
2017-04-07 16:22:19,A,511,657,861,645,-0.164389,0.198157
2017-04-07 16:22:19,A,518,657,835,644,-0.21196,0.3538
2017-04-07 16:22:20,A,746,595,837,648,-0.251638,0.54376
2017-04-07 16:22:20,A,738,590,744,632,-0.263534,0.558801
2017-04-07 16:22:20,A,742,591,773,661,-0.270831,0.539135
2017-04-07 16:22:20,A,737,585,742,624,-0.274947,0.539613
2017-04-07 16:22:21,A,739,595,745,634,-0.267459,0.53456
2017-04-07 16:22:21,A,728,599,750,645,-0.267459,0.53456
2017-04-07 16:22:21,A,749,592,743,628,-0.267459,0.53456
2017-04-07 16:22:22,A,727,578,728,635,-0.277668,0.521983
2017-04-07 16:22:22,A,832,574,714,616,-0.277396,0.516168
2017-04-07 16:22:22,A,834,590,705,639,-0.280856,0.504428
2017-04-07 16:22:23,A,838,592,704,638,-0.282756,0.474276
2017-04-07 16:22:23,A,606,653,708,636,-0.295421,0.486894
2017-04-07 16:22:23,A,593,650,762,649,-0.301339,0.48742
2017-04-07 16:22:24,A,466,656,711,636,-0.30875,0.483796
2017-04-07 16:22:24,A,479,656,710,635,-0.30875,0.483796
2017-04-07 16:22:24,A,606,654,708,636,-0.30875,0.483796
2017-04-07 16:22:24,A,592,652,708,635,-0.30875,0.483796
2017-04-07 16:22:25,A,594,651,705,634,-0.30875,0.483796
2017-04-07 16:22:25,A,588,651,707,620,-0.30875,0.483796
2017-04-07 16:22:25,A,487,656,708,624,-0.30875,0.483796
2017-04-07 16:22:25,A,497,657,708,627,-0.30875,0.483796
2017-04-07 16:22:26,A,482,656,712,633,-0.30875,0.483796
2017-04-07 16:22:26,A,492,656,704,629,-0.30875,0.483796
2017-04-07 16:22:26,A,561,647,708,629,-0.30875,0.483796
2017-04-07 16:22:27,A,578,651,706,630,-0.30875,0.483796
2017-04-07 16:22:27,A,583,651,706,636,-0.30875,0.483796
2017-04-07 16:22:27,A,449,657,705,637,-0.302475,0.419513
2017-04-07 16:22:28,A,475,655,655,521,-0.299623,0.359193
2017-04-07 16:22:28,A,453,657,680,638,-0.2959,0.329725
2017-04-07 16:22:28,A,606,658,857,646,-0.293923,0.334824
2017-04-07 16:22:29,A,596,655,843,646,-0.303065,0.38497
2017-04-07 16:22:29,A,461,655,838,647,-0.309991,0.402132
2017-04-07 16:22:29,A,463,655,848,647,-0.312025,0.407703
2017-04-07 16:22:30,A,579,649,837,647,-0.312306,0.41045
2017-04-07 16:22:30,A,478,658,842,647,-0.312306,0.41045
2017-04-07 16:22:30,A,580,650,841,644,-0.312306,0.41045
2017-04-07 16:22:31,A,461,655,760,651,-0.312306,0.41045
2017-04-07 16:22:31,A,583,651,812,647,-0.312306,0.41045
2017-04-07 16:22:31,A,527,659,844,647,-0.312306,0.41045
2017-04-07 16:22:32,A,459,654,839,646,-0.312306,0.41045
2017-04-07 16:22:32,A,428,659,837,645,-0.312306,0.41045
2017-04-07 16:22:32,A,432,659,837,647,-0.312306,0.41045
2017-04-07 16:22:33,A,424,659,842,644,-0.312306,0.41045
2017-04-07 16:22:33,A,424,659,714,641,-0.312306,0.41045
2017-04-07 16:22:33,A,564,656,839,645,-0.312306,0.41045
2017-04-07 16:22:34,A,432,660,841,646,-0.312306,0.41045
2017-04-07 16:22:34,A,569,649,806,647,-0.312306,0.41045
2017-04-07 16:22:34,A,610,643,841,646,-0.312306,0.41045
2017-04-07 16:22:34,A,583,651,803,649,-0.312306,0.41045
2017-04-07 16:22:35,A,565,650,801,648,-0.312306,0.41045
2017-04-07 16:22:35,A,589,659,813,648,-0.312306,0.41045
2017-04-07 16:22:36,A,592,656,817,648,-0.312306,0.41045
2017-04-07 16:22:36,A,587,651,809,649,-0.312306,0.41045
2017-04-07 16:22:36,A,577,650,805,650,-0.312306,0.41045
