datetime,isTracking,leftHandX,leftHandY,RightHandX,RightHandY,LeanX,LeanY
2017-04-07 15:47:10,A,412,835,803,616,-0.28233,0.754592
2017-04-07 15:47:10,A,506,417,803,616,-0.285255,0.753525
2017-04-07 15:47:10,A,572,353,802,617,1,-0.92904
2017-04-07 15:47:10,A,562,365,804,616,1,-0.918778
2017-04-07 15:47:11,A,561,368,805,615,1,-0.925591
2017-04-07 15:47:11,A,561,369,805,616,1,-0.951845
2017-04-07 15:47:11,A,578,338,805,615,1,-0.99511
2017-04-07 15:47:11,A,584,311,805,615,1,-1
2017-04-07 15:47:11,A,541,379,804,615,1,-1
2017-04-07 15:47:11,A,541,378,804,616,1,-1
2017-04-07 15:47:11,A,549,387,805,616,1,-1
2017-04-07 15:47:11,A,547,390,805,616,1,-1
2017-04-07 15:47:11,A,545,399,805,616,1,-1
2017-04-07 15:47:11,A,544,402,805,616,0.858812,-1
2017-04-07 15:47:11,A,543,408,805,615,0.578049,-1
2017-04-07 15:47:12,A,542,409,805,613,0.346034,-0.816038
2017-04-07 15:47:12,A,543,411,805,614,0.23986,-0.667906
2017-04-07 15:47:12,A,541,409,806,613,0.273312,-0.511544
2017-04-07 15:47:12,A,540,410,807,611,0.157845,-0.513839
2017-04-07 15:47:12,A,540,408,804,616,0.0536389,-0.501783
2017-04-07 15:47:12,A,504,657,804,616,-0.00178112,-0.493987
2017-04-07 15:47:12,A,506,656,805,615,-0.0703961,-0.484727
2017-04-07 15:47:12,A,507,656,804,615,-0.104362,-0.483249
2017-04-07 15:47:12,A,507,656,805,615,-0.134836,-0.486158
2017-04-07 15:47:12,A,507,656,804,615,-0.147987,-0.489686
2017-04-07 15:47:12,A,506,656,804,616,-0.156132,-0.497464
2017-04-07 15:47:12,A,502,657,804,616,-0.151858,-0.510192
2017-04-07 15:47:13,A,232,783,803,616,-0.133239,-0.530223
2017-04-07 15:47:13,A,231,783,803,616,-0.075406,-0.577571
2017-04-07 15:47:13,A,230,781,803,616,-0.00325301,-0.641673
2017-04-07 15:47:13,A,229,780,806,614,0.0610247,-0.689511
2017-04-07 15:47:13,A,229,777,806,613,0.175954,-0.777236
2017-04-07 15:47:13,A,229,776,804,616,0.277943,-0.830489
2017-04-07 15:47:13,A,137,709,804,616,0.563635,-0.977683
2017-04-07 15:47:13,A,129,676,804,615,0.762662,-1
2017-04-07 15:47:13,A,139,624,805,616,0.998124,-1
2017-04-07 15:47:13,A,277,648,807,615,0.99268,-1
2017-04-07 15:47:13,A,279,588,806,614,0.776821,-0.862263
2017-04-07 15:47:13,A,292,599,809,615,0.581335,-0.691827
2017-04-07 15:47:14,A,317,602,812,612,0.36655,-0.542541
2017-04-07 15:47:14,A,381,583,816,611,0.263469,-0.485375
2017-04-07 15:47:14,A,510,592,828,608,0.157425,-0.434154
2017-04-07 15:47:14,A,548,589,836,605,0.107568,-0.408604
2017-04-07 15:47:14,A,569,597,845,603,0.0626256,-0.383078
2017-04-07 15:47:14,A,602,610,852,608,0.0215382,-0.318849
2017-04-07 15:47:14,A,573,606,850,612,0.00307728,-0.277003
2017-04-07 15:47:14,A,571,605,850,612,-0.0392508,-0.229661
2017-04-07 15:47:14,A,568,605,852,612,-0.072748,-0.207811
2017-04-07 15:47:14,A,564,605,852,609,-0.0735969,-0.188028
2017-04-07 15:47:14,A,550,603,844,608,-0.0892309,-0.153465
2017-04-07 15:47:15,A,552,605,843,601,-0.112606,-0.0752475
2017-04-07 15:47:15,A,594,603,859,604,-0.159784,-0.00240295
2017-04-07 15:47:15,A,602,603,864,609,-0.193953,0.0364457
2017-04-07 15:47:15,A,715,631,853,610,-0.221829,0.0754582
2017-04-07 15:47:15,A,729,632,852,613,-0.229496,0.107929
2017-04-07 15:47:15,A,704,628,861,614,-0.20202,0.0983
2017-04-07 15:47:15,A,704,630,863,614,-0.201923,0.10404
2017-04-07 15:47:15,A,604,600,868,619,-0.20718,0.111754
2017-04-07 15:47:15,A,674,613,838,605,-0.211114,0.115061
2017-04-07 15:47:15,A,688,619,874,621,-0.216233,0.117315
2017-04-07 15:47:15,A,701,621,874,619,-0.218655,0.118191
2017-04-07 15:47:16,A,715,618,848,556,-0.220201,0.11857
2017-04-07 15:47:16,A,725,619,878,561,-0.220201,0.11857
2017-04-07 15:47:16,A,737,619,627,601,-0.220201,0.11857
2017-04-07 15:47:16,A,762,620,619,603,-0.220201,0.11857
2017-04-07 15:47:16,A,764,619,686,583,-0.220201,0.11857
